track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4ejAli6thEUfHgmAWHCk81,0.546,0.6,0.0414,0.125,0.801,0.133,0.331
0QtqA7ibNZtR39W14XOLbG,0.5,0.848,0.0519,0.165,2.23e-05,0.11,0.67
6GNUqCv6Z1uK1zyZYoljXf,0.601,0.795,0.0431,0.526,2.82e-05,0.149,0.863
06HoTI0aXg9pebBNLT3JXm,0.777,0.708,0.068,0.00258,0.183,0.369,0.718
6wvGJptwP1fE3O7MADfXq7,0.28,0.996,0.0977,0.000157,0.0011,0.144,0.322
7b2dMRCVDx7OGekIVjCrs1,0.385,0.437,0.0422,0.137,0.889,0.132,0.224
2OyqWTtfAvxA8Swh98lU7Q,0.875,0.796,0.207,0.00188,0.00222,0.081,0.958
3gCljMiGFfcum5sOHTMfwZ,0.618,0.707,0.0398,0.738,0.00442,0.0876,0.711
7c8SLpL5X86wWfMEs6KW6M,0.598,0.873,0.0544,0.66,2.36e-06,0.513,0.771
0HLWvLKQWpFdPhgk6ym58n,0.584,0.509,0.0287,0.267,0.00252,0.36,0.367
0rlR7gBOx5jfIvVsPfGQsC,0.348,0.0143,0.0406,0.993,0.93,0.102,0.304
5i4v2Mpe7CQOjnvSAyYxqk,0.661,0.843,0.107,0.286,0.0,0.772,0.959
3xhNEw3mynRggObeNZlFO5,0.464,0.691,0.033,0.296,0.0,0.953,0.568
57h06SZNL6LJ3YKZ1UGCeu,0.588,0.644,0.0338,0.0928,0.0472,0.092,0.49
2keCOvyOva2MKFn7fbvqqi,0.928,0.53,0.259,0.00464,0.0,0.0818,0.587
3UPAXvbgKK5p7usgtMwbs4,0.469,0.522,0.0854,0.93,0.038,0.712,0.713
2NMjggapJcXXM7WccGEBUO,0.81,0.789,0.0846,0.191,1.08e-05,0.467,0.77
2RSzPRq4NKwTqnqapywvCH,0.467,0.9,0.0451,0.000187,0.000493,0.105,0.554
6mSDD3nBMVP0ZwJoLakFYo,0.623,0.717,0.0696,0.197,2.45e-05,0.501,0.404
7cdy4PbCdDZZNjyxoZyE0c,0.736,0.751,0.034,0.0381,0.0,0.105,0.839
2gGziDLQLuvEsgOsSWsKiC,0.727,0.971,0.119,0.000979,0.834,0.0974,0.177
4LvFLs0F7c2YgmgkH6X8nh,0.38,0.958,0.0582,0.000265,0.0117,0.0571,0.694
7jPCPDYoiaKeK7cgNGpIzq,0.595,0.89,0.245,0.0486,0.0,0.32,0.62
0bJ4L7meNjdPyp9fsZk6Lr,0.739,0.226,0.0387,0.925,6.66e-05,0.0982,0.457
0Z99Xe1lGBmq60RwJ5YU18,0.855,0.87,0.0826,0.0122,0.000675,0.0202,0.863
4snHNGkAeIxLrib9kCoemI,0.77,0.9,0.102,0.145,0.0,0.224,0.598
07d6w3G2QHDPcBcAFkmEwN,0.514,0.946,0.0799,5.33e-05,3.67e-05,0.0933,0.888
5BpBzULpMAuYl00QTwl6b5,0.351,0.55,0.107,0.601,0.0,0.716,0.622
5EugXICXL06waHgP4iTI58,0.494,0.936,0.0398,0.0112,0.000693,0.276,0.834
1zlKH4cb8KHuyW1LHWyp0R,0.482,0.775,0.227,0.787,0.00166,0.318,0.874
1XTOIzz14u7Gf1Inh4nKKv,0.907,0.869,0.259,0.000107,0.0498,0.0755,0.39
4j63MsY1JhofTuai9FwWb3,0.372,0.252,0.0508,0.995,0.851,0.104,0.194
0qTmSeOA6pQsqQmCTkRMp4,0.665,0.665,0.029,0.0903,0.0,0.109,0.441
3JEtu0701R9e9jZWbxwExO,0.775,0.638,0.0496,0.029,7.3e-05,0.335,0.403
2FqOpyYhgo3ZMgtkY55PVz,0.6,0.817,0.0737,0.01,0.0114,0.116,0.0387
4IpJwePXEWjNf9IrWAvcGg,0.549,0.779,0.0958,0.108,0.921,0.0939,0.136
2M0627dznvRUfgc6jp7cst,0.62,0.698,0.0449,0.0168,0.0,0.153,0.617
6TEftSkmWdTm1EpThnwqh6,0.625,0.562,0.0289,0.149,1.67e-05,0.109,0.229
6wDEztaO9Mmk1PN7GdB708,0.719,0.321,0.0452,0.828,0.901,0.0795,0.974
